,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2015-08-26,,Evert Slob,Editor's Corner,,5,-,0,2015-08-26,2015-08-26,This issue of Geophysics,80
1,2015-05-08,University of Alberta,Nasser Kazemi; Mauricio D. Sacchi,Geophysics Letters,Canada,5,algorithm; imaging; least squares; migration; wave equation,5,2015-07-06,2015-01-30,Block row recursive least-squares migration,80
2,2015-05-01,The University of Texas at Austin,Junzhe Sun; Tieyuan Zhu; Sergey Fomel,Geophysics Letters,USA,5,attenuation; modeling; migration; acoustic; Reverse time migration,28,2015-07-20,2015-02-05,Viscoacoustic modeling and imaging using low-rank approximation,80
3,2015-05-04,University of Western Ontario; University of Western Australia; University of Western Ontario; JOGMEC; INPEX Corporation,Rie Kamei; Takayuki Miyoshi; R. Gerhard Pratt; Mamoru Takanashi; Shogo Masaya,Case Histories,Canada; Australia; Canada; Japan; Japan,5,acquisition; wave equation; case history; velocity analysis; inversion,7,2015-07-16,2014-11-17,Application of waveform tomography to a crooked-line 2D land seismic data set,80
4,2015-04-16,Uppsala University; Geological Survey of Sweden,Jochen Kamm; Ildikó Antal Lundin; Mehrdad Bastani; Martiya Sadeghi; Laust B. Pedersen,Case Histories,Sweden; Sweden,5,inversion; gravity; magnetics; rock physics; algorithm,11,2015-07-16,2014-03-14,"Joint inversion of gravity, magnetic, and petrophysical data — A case study from a gabbro intrusion in Boden, Sweden",80
5,2015-05-01,SINTEF Petroleum Research; German Research Centre for Geosciences; British Geological Survey,Peter Bergmann; Andrew Chadwick,Case Histories,Norway; Germany; UK,5,4D; time-lapse; interpretation,3,2015-07-30,2014-12-15,"Volumetric bounds on subsurface fluid substitution using 4D seismic time shifts with an application at Sleipner, North Sea",80
6,2015-05-23,The University of Texas at Austin,Yanadet Sripanich; Sergey Fomel,Anisotropy,USA,5,anisotropy; velocity analysis; wave propagation; traveltime; multiparameter,20,2015-08-21,2014-11-14,On anelliptic approximations for qP velocities in transversely isotropic and orthorhombic media,80
7,2015-04-20,Harbin Institute of Technology,Xiaobo Zheng; Hengshan Hu; Wei Guan; Jun Wang,Borehole Geophysics and Rock Properties,China,5,acoustic; Asia; logging,4,2015-06-22,2014-10-29,Simulation of the borehole quasistatic electric field excited by the acoustic wave during logging while drilling due to electrokinetic effect,80
8,2015-05-01,Norwegian University of Science and Technology,Martin Landrø,Borehole Geophysics and Rock Properties,Norway,5,rock physics; 2D; 3D; anisotropy; fractures,1,2015-07-06,2014-10-08,Aspect ratio histograms of 3D ellipsoids and 2D ellipses — Analytical relations and numerical examples,80
9,2015-04-20,Politecnico di Torino; Università degli Studi di Torino,Guido Musso; Renato Maria Cosentini; Sebastiano Foti; Cesare Comina; Gaia Capasso,Borehole Geophysics and Rock Properties,Italy; Italy; Italy,5,sample damage; fabric/structure of rock; stress dependent wave velocities; geomechanical characterization,1,2015-07-16,2014-07-31,Assessment of the structural representativeness of sample data sets for the mechanical characterization of deep formations,80
10,2015-05-01,"The University of Texas at Austin; The University of Texas at Austin; Baker Hughes, Inc.",Shan Huang; Paweł J. Matuszyk; Carlos Torres-Verdín,Borehole Geophysics and Rock Properties,USA; USA,5,acoustic; logging; log analysis; modeling,4,2015-07-17,2014-12-12,Spatial sensitivity functions for rapid numerical simulation of borehole sonic measurements in vertical wells,80
